Survey.series,Deployment.date,Recovery.date,Sampling.Note,Sampled.Fish.Number,Cage.Number,Fish.Length.mm,Fish.Weight.g,Fish.Species,HEAD_OPER,MOUTH_GILLS,ANT.DORS,POST.DORS,ANT.VENT,POST.VENT,DORSAL,PECTORAL,PELVIC,ANAL,ADIPOSE,CAUDAL,BAG,BIN,TOTAL
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,1,10,200,93.89,Salmon,1,0,0,0,1,5,0,0,2,1,0,0,0,0,10
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,2,10,180,72.92,Salmon,0,0,0,0,1,3,0,1,1,0,0,0,0,0,6
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,3,10,195,81.35,Salmon,0,0,0,0,1,1,0,0,2,0,0,0,0,0,4
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,4,10,176,59.56,Salmon,0,0,0,0,1,0,0,2,2,0,0,0,0,0,5
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,5,10,182,65.98,Salmon,0,0,0,0,0,2,0,0,1,0,0,0,3,0,6
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,6,10,195,85.06,Salmon,0,0,0,0,2,6,0,0,1,0,0,0,0,0,9
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,7,10,200,83.49,Salmon,0,0,0,0,2,3,1,2,4,2,0,0,0,0,14
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,8,10,180,66.28,Salmon,0,0,0,0,0,2,0,0,3,0,0,0,0,0,5
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,9,10,174,64.99,Salmon,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,10,10,198,83.63,Salmon,0,0,0,0,1,9,0,1,2,1,0,0,0,0,14
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,11,10,177,69.3,Salmon,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,12,10,170,58.41,Salmon,0,0,0,0,3,2,0,0,0,0,0,0,0,0,5
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,13,10,177,62.6,Salmon,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,14,10,178,74.83,Salmon,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,15,10,205,93.71,Salmon,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,16,10,185,74.37,Salmon,0,0,0,0,4,2,0,0,1,0,0,0,0,0,7
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,17,10,180,71.75,Salmon,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,18,10,178,63.5,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,19,10,182,68.25,Salmon,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Loch Linnhe Sea Lice Settlement Experiment,2011-10-26,2011-11-01,,20,10,166,67.6,Salmon,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
